event_id,origintime,event_magnitude,event_azimuth_from_crater_deg,event_distance_from_crater_km,network,station,location,channel,latitude,longitude,hypocentral_distance_km,epicentral_distance_km,p_guide_s,s_guide_s,coda_start_s,frequency_min_hz,frequency_max_hz,frequency_band,window_index,window_start_s,window_end_s,noise_rms,coda_rms,snr,passes_snr
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,OTVZ,10,HHZ,-39.163113759,175.665073554,155.6199090203908,155.45139555791772,25.936651503398465,44.46283114868309,88.92566229736617,1.0,10.0,1-10Hz,0,88.92566229736617,98.92566229736617,1.0896775164018756e-07,3.5763057056485174e-06,32.81985405606522,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,OTVZ,10,HHZ,-39.163113759,175.665073554,155.6199090203908,155.45139555791772,25.936651503398465,44.46283114868309,88.92566229736617,1.0,10.0,1-10Hz,1,93.92566229736617,103.92566229736617,1.0896775164018756e-07,2.810143675507858e-06,25.788764411575418,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,OTVZ,10,HHZ,-39.163113759,175.665073554,155.6199090203908,155.45139555791772,25.936651503398465,44.46283114868309,88.92566229736617,1.0,10.0,1-10Hz,2,98.92566229736617,108.92566229736617,1.0896775164018756e-07,2.2237348373587265e-06,20.407274665090988,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,SNVZ,10,EHZ,-39.1862267,175.6403333,153.9777861585819,153.80747357553037,25.66296435976365,43.993653188166256,87.98730637633251,1.0,10.0,1-10Hz,0,87.98730637633251,97.98730637633251,6.333451499173347e-08,1.9582608809673992e-06,30.919331761252057,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,SNVZ,10,EHZ,-39.1862267,175.6403333,153.9777861585819,153.80747357553037,25.66296435976365,43.993653188166256,87.98730637633251,1.0,10.0,1-10Hz,1,92.98730637633251,102.98730637633251,6.333451499173347e-08,2.7190023348993448e-06,42.930814821179794,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,SNVZ,10,EHZ,-39.1862267,175.6403333,153.9777861585819,153.80747357553037,25.66296435976365,43.993653188166256,87.98730637633251,1.0,10.0,1-10Hz,2,97.98730637633251,107.98730637633251,6.333451499173347e-08,2.6925885567853125e-06,42.51376294800322,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,ETVZ,10,HHZ,-39.1357,175.7106,157.18729434087777,157.0204629963727,26.197882390146294,44.910655525965076,89.82131105193015,1.0,10.0,1-10Hz,0,89.82131105193015,99.82131105193015,2.650542955781519e-07,3.7398185488208415e-06,14.109631917729653,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,ETVZ,10,HHZ,-39.1357,175.7106,157.18729434087777,157.0204629963727,26.197882390146294,44.910655525965076,89.82131105193015,1.0,10.0,1-10Hz,1,94.82131105193015,104.82131105193015,2.650542955781519e-07,2.68079702631744e-06,10.114142917283905,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,ETVZ,10,HHZ,-39.1357,175.7106,157.18729434087777,157.0204629963727,26.197882390146294,44.910655525965076,89.82131105193015,1.0,10.0,1-10Hz,2,99.82131105193015,109.82131105193015,2.650542955781519e-07,2.3031288615553106e-06,8.689271971735419,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,NGZ,10,HHZ,-39.175583868,175.601172722,156.32584360636457,156.15809193452338,26.054307267727427,44.66452674467559,89.32905348935118,1.0,10.0,1-10Hz,0,89.32905348935118,99.32905348935118,1.8338884151951832e-07,3.705446365812721e-06,20.20540800143691,True
