publicid,origintime,latitude,longitude,depth_km,magnitude,magnitudetype,distance_from_crater_km,azimuth_from_crater_deg,azimuth_bin
2025p910674,2025-12-03T22:47:13.676Z,-40.47549819946289,176.2975616455078,7.240145206451416,4.780924459628688,MLv,157.11515126043463,158.96376595736206,3
2025p969626,2025-12-25T18:16:50.734Z,-40.61988067626953,176.08433532714844,15.496580123901367,4.71959311567875,MLv,167.00015900285425,166.7650367596879,3
2026p070370,2026-01-27T00:53:34.105Z,-40.4443244934082,174.79339599609375,4.638963222503662,4.503423943916014,MLv,160.0169319413353,206.4185741169314,4
2025p806773,2025-10-26T12:08:40.296Z,-39.573978424072266,176.93316650390625,23.379459381103516,4.4762516096843825,MLv,121.285344166953,112.87093749788103,2
2026p123272,2026-02-15T14:39:26.775Z,-39.56387710571289,177.09022521972656,38.30255889892578,3.7907759502079887,MLv,133.51789390490117,110.25449409665875,2
2026p241703,2026-03-31T10:19:26.326Z,-39.01180648803711,177.4877166748047,23.296098709106445,3.7197187944768575,MLv,161.3173449940044,84.86548607172769,1
2026p051624,2026-01-20T02:26:01.873Z,-39.27138900756836,175.10633850097656,20.55168914794922,3.716577923824578,MLv,47.19689589698808,254.17292990684052,5
2026p140672,2026-02-22T01:10:17.454Z,-38.75180435180664,176.9459991455078,35.69755172729492,3.634668466605983,MLv,122.40135321545381,68.8731593803652,1
2026p110454,2026-02-10T20:50:09.670Z,-39.258140563964844,175.037353515625,15.471734046936035,3.567456039539588,MLv,52.62823105713537,257.4471545122169,5
2025p711822,2025-09-21T08:58:46.938Z,-40.6711540222168,175.0552520751953,28.768938064575195,3.4762316931161195,MLv,175.2549063013722,196.17315581889667,4
2025p838820,2025-11-07T08:43:19.998Z,-38.053340911865234,175.84034729003906,5.0,3.423305034852815,MLv,123.80427792701715,8.47245060078692,0
2025p819766,2025-10-31T07:31:23.509Z,-38.1342658996582,176.46949768066406,2.683762311935425,3.298920165062114,MLv,134.86636663268422,32.96335828803062,0
2025p822964,2025-11-01T11:55:33.162Z,-38.636009216308594,175.27513122558594,5.0,3.2922132368530894,MLv,65.58740424147601,331.67547197824,7
2026p108229,2026-02-10T01:04:39.425Z,-39.03121566772461,174.75689697265625,23.9963321685791,3.248684544649509,MLv,77.02153190151915,280.13828036153654,6
2025p879806,2025-11-22T12:40:38.230Z,-38.650943756103516,174.56680297851562,14.024381637573242,3.2327863103782954,MLv,108.15442653833556,300.933028165898,6
2026p077758,2026-01-29T18:30:19.150Z,-38.617549896240234,175.27609252929688,5.0,2.819357553214637,MLv,67.36358226523582,332.5592606453548,7
