event_id,origintime,event_magnitude,event_azimuth_from_crater_deg,station,frequency_band,frequency_min_hz,frequency_max_hz,window_index,reference,coda_rms,denominator_rms,site_ratio,snr
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,OTVZ,1-10Hz,1.0,10.0,0,OTVZ,3.5763057056485174e-06,3.5763057056485174e-06,1.0,32.81985405606522
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,SNVZ,1-10Hz,1.0,10.0,0,OTVZ,1.9582608809673992e-06,3.5763057056485174e-06,0.5475652928312217,30.919331761252057
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,ETVZ,1-10Hz,1.0,10.0,0,OTVZ,3.7398185488208415e-06,3.5763057056485174e-06,1.0457211593835694,14.109631917729653
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,NGZ,1-10Hz,1.0,10.0,0,OTVZ,3.705446365812721e-06,3.5763057056485174e-06,1.0361100730175934,20.20540800143691
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,WTVZ,1-10Hz,1.0,10.0,0,OTVZ,2.174229212413464e-06,3.5763057056485174e-06,0.6079539590196177,23.591201421856375
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,NOVZ,1-10Hz,1.0,10.0,0,OTVZ,2.790570209718783e-06,3.5763057056485174e-06,0.7802940909976679,34.63948054950309
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,KRVZ,1-10Hz,1.0,10.0,0,OTVZ,1.8221870456960589e-06,3.5763057056485174e-06,0.5095165781879456,18.226972879544
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,NTVZ,1-10Hz,1.0,10.0,0,OTVZ,2.2919797293938698e-06,3.5763057056485174e-06,0.6408791412249386,26.951305981379086
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,COVZ,1-10Hz,1.0,10.0,0,OTVZ,3.1816932741644793e-06,3.5763057056485174e-06,0.8896592003136711,42.151304386819916
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,FWVZ,1-10Hz,1.0,10.0,0,OTVZ,2.811390193130988e-06,3.5763057056485174e-06,0.7861157363283009,56.45796942684589
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,WHVZ,1-10Hz,1.0,10.0,0,OTVZ,3.6124708215338527e-06,3.5763057056485174e-06,1.0101124229475726,59.489790525557595
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,TWVZ,1-10Hz,1.0,10.0,0,OTVZ,1.4568929133891892e-06,3.5763057056485174e-06,0.4073737071996199,14.689120229581286
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,MAVZ,1-10Hz,1.0,10.0,0,OTVZ,2.645465672738816e-06,3.5763057056485174e-06,0.7397202282121725,2.7026964945619603
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,TRVZ,1-10Hz,1.0,10.0,0,OTVZ,2.73140958715385e-06,3.5763057056485174e-06,0.7637517069191778,86.31769408206327
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,TUVZ,1-10Hz,1.0,10.0,0,OTVZ,7.817946126829846e-06,3.5763057056485174e-06,2.1860396650325398,57.427894071348405
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,OTVZ,1-10Hz,1.0,10.0,1,OTVZ,2.810143675507858e-06,2.810143675507858e-06,1.0,25.788764411575418
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,SNVZ,1-10Hz,1.0,10.0,1,OTVZ,2.7190023348993448e-06,2.810143675507858e-06,0.9675670175148459,42.930814821179794
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,ETVZ,1-10Hz,1.0,10.0,1,OTVZ,2.68079702631744e-06,2.810143675507858e-06,0.9539715174288937,10.114142917283905
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,NGZ,1-10Hz,1.0,10.0,1,OTVZ,3.1760470915026882e-06,2.810143675507858e-06,1.1302080812393704,17.318649625498928
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,WTVZ,1-10Hz,1.0,10.0,1,OTVZ,1.875160233952499e-06,2.810143675507858e-06,0.6672826910224134,20.346190974190772
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,NOVZ,1-10Hz,1.0,10.0,1,OTVZ,2.673631602467719e-06,2.810143675507858e-06,0.9514216749022743,33.18791606377477
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,KRVZ,1-10Hz,1.0,10.0,1,OTVZ,1.7734600686252535e-06,2.810143675507858e-06,0.6310923117853567,17.739566665308477
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,NTVZ,1-10Hz,1.0,10.0,1,OTVZ,1.954203075052591e-06,2.810143675507858e-06,0.6954103777983599,22.9794026317252
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,COVZ,1-10Hz,1.0,10.0,1,OTVZ,2.314469588353164e-06,2.810143675507858e-06,0.8236125464065056,30.662261791508154
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,FWVZ,1-10Hz,1.0,10.0,1,OTVZ,2.3203708398155716e-06,2.810143675507858e-06,0.8257125285226661,46.59738312146434
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,WHVZ,1-10Hz,1.0,10.0,1,OTVZ,2.7003960970025065e-06,2.810143675507858e-06,0.9609459190781349,44.469839642470035
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,TWVZ,1-10Hz,1.0,10.0,1,OTVZ,1.4247115343186955e-06,2.810143675507858e-06,0.5069888585184945,14.364651531864494
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,MAVZ,1-10Hz,1.0,10.0,1,OTVZ,2.8378193333918335e-06,2.810143675507858e-06,1.0098484850170424,2.8992114483261697
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,TRVZ,1-10Hz,1.0,10.0,1,OTVZ,2.444746163700392e-06,2.810143675507858e-06,0.869971946633145,77.25858928630244
