combination_name,combination_code,seismic_velocity_mps,seismic_velocity_kmps,best_x_m,best_y_m,best_z_m,best_rms_s,best_source_lag_s,stations_used
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S2I2S2I1S1I2S1I1,3000.0,3.0,1827752.0,5661968.0,2023.887207,0.1259454407155082,-0.786698298663018,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S2I2S2I1S1I2S1I1,3000.0,3.0,1827848.0,5662064.0,2029.3927,0.1269519279440461,-0.892994986044337,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S1I2S1I2S1I2S1I1,2500.0,2.5,1828040.0,5661680.0,1747.83252,0.12991073169438713,0.21476756186278828,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S2I1S2I2S1I1S1I2S2I1,2500.0,2.5,1827848.0,5661680.0,1823.050049,0.13077280690757495,-0.5678917571468796,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S1I2S1I1S1I2S1I1,3300.0,3.3,1827944.0,5661968.0,1945.640259,0.13102178527623826,-0.5013452395853086,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S1I1S1I2S1I1,2500.0,2.5,1828040.0,5661872.0,1862.954834,0.13140873761842053,-0.16972337675973764,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S2I1S1I2S1I2S1I1,2500.0,2.5,1828136.0,5661680.0,1731.645752,0.13254471504007087,0.3857409299592927,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S1I2S1I2S1I2S1I1,3000.0,3.0,1828040.0,5661680.0,1747.83252,0.13290153911554897,-0.05262322659968568,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S2I2S2I1S1I2S1I1,3300.0,3.3,1827848.0,5662064.0,2029.3927,0.13633150013032644,-1.016505427521461,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S1I1S2I2S1I2S2I2,2500.0,2.5,1828232.0,5662256.0,1871.278687,0.13694309295524087,0.6029418970913165,5
