station,seismic_arrival_s,seismic_pick_1_s,seismic_pick_2_s,infrasound_arrival_s,infrasound_pick_1_s,infrasound_pick_2_s,uncertainty_s,use,notes
ETVZ,14.958469771684598,14.654362010633156,15.262577532736042,33.7829083390765,32.94900068917987,34.61681598897312,0.8339076498966271,yes,
NGZ,15.26257753273604,14.80771881461061,15.717436250861471,24.898911165228803,25.71856664472364,24.07925568573397,0.8196554794948359,yes,
NOVZ,14.84562370778773,14.504479669193657,15.186767746381804,26.922122674017906,26.35354927636112,27.49069607167469,0.5685733976567846,yes,
OTVZ,15.414197105444519,14.731909028256371,16.096485182632666,19.711525802112234,18.84258278714329,20.580468817081183,0.8689430149689468,yes,
SNVZ,15.565816678152995,15.110957960027566,16.020675396278424,22.5605246452589,21.72408168197198,23.396967608545822,0.8364429632869204,yes,
